cluster,size,preview,proposal_1,score_1,proposal_2,score_2,proposal_3,score_3,proposal_4,score_4,proposal_5,score_5,final_name
0,449,cluster_previews_k98/cluster_000.png,meadow with flowers,0.2258,landscape painting,0.2229,dairy product,0.2184,river valley,0.2132,land vehicle,0.2122,a field ready for harvest on a sunny day
1,394,cluster_previews_k98/cluster_001.png,tapestry,0.313,scarf,0.2794,curtain,0.2767,towel,0.267,brassiere,0.2499,fragments of traditional tapestries with red accents
2,517,cluster_previews_k98/cluster_002.png,market square,0.2859,building,0.2807,street scene,0.2591,office building,0.2431,train station,0.2409,tenement blocks on a paved surface on a sunny day
3,258,cluster_previews_k98/cluster_003.png,coin,0.2927,medal,0.2177,ruler,0.1911,coat of arms,0.1885,plate,0.1876,brownish coins against a dark blue background
4,479,cluster_previews_k98/cluster_004.png,medal,0.2756,coat of arms,0.2425,coin,0.2358,belt,0.2291,plate,0.2214,a shiny metal emblem on a light-coloured background
5,996,cluster_previews_k98/cluster_005.png,poster,0.346,propaganda poster,0.3223,athletics competition,0.2583,postcard,0.2527,billboard,0.2388,a colourful poster for a sporting event
6,369,cluster_previews_k98/cluster_006.png,monastery,0.2928,building,0.2541,cathedral,0.2533,tower,0.2421,postcard,0.2355,the abbey set against a rural landscape on a sunny day
7,516,cluster_previews_k98/cluster_007.png,clothing,0.3069,fashion accessory,0.2817,dress,0.2646,skirt,0.2583,brassiere,0.2574,clothing with a significant proportion of red
8,281,cluster_previews_k98/cluster_008.png,ruler,0.2852,adhesive tape,0.2566,brassiere,0.2554,fashion accessory,0.2466,skirt,0.2445,a section of a tablecloth with an identification number underneath on a brown background
9,578,cluster_previews_k98/cluster_009.png,table,0.2567,tapestry,0.2456,furniture,0.244,church interior,0.2411,cabinetry,0.2391,a well-lit exhibition of artworks
10,1074,cluster_previews_k98/cluster_010.png,postcard,0.2646,envelope,0.2326,vehicle registration plate,0.2266,poster,0.2204,adhesive tape,0.215,pictures on small cards in cold colours
11,369,cluster_previews_k98/cluster_011.png,trousers,0.2895,clothing,0.267,skirt,0.2519,suit,0.2515,belt,0.2413,elegant and dark suit trousers against a brown background
